customer_id,first_name,last_name,age,gender,location,subscription_length_months,monthly_bill,total_usage_gb,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,customer_service_calls,satisfaction_score,last_payment_days_ago,last_login_days_ago,credit_score,support_tickets,avg_monthly_usage_growth,churn_probability,churn
CUST_000001,Linda,Jones,52,Male,Chicago,7,68.0,72.5,0,0,DSL,1,0,0,1,1,1,Month-to-month,0,Bank transfer,2,5.3,4,0,496,1,-0.122,0.718,0
CUST_000002,Mary,Rodriguez,42,Male,Los Angeles,7,51.08,18.0,1,0,DSL,0,0,0,0,0,0,Two year,0,Mailed check,1,7.6,4,2,846,2,0.021,0.477,1
CUST_000003,Sarah,Clark,54,Male,Charlotte,14,81.34,18.1,1,1,DSL,0,0,0,1,1,0,Month-to-month,0,Bank transfer,3,5.6,25,1,642,2,-0.006,0.597,1
CUST_000004,Jessica,Smith,67,Male,Phoenix,8,41.96,19.1,1,0,DSL,0,0,1,0,1,1,Two year,1,Electronic check,0,5.6,6,8,735,3,-0.014,0.454,1
CUST_000005,Joseph,Hernandez,41,Male,Phoenix,1,158.53,122.8,1,1,DSL,1,1,1,0,0,1,Month-to-month,1,Mailed check,4,9.6,7,3,636,0,-0.11,0.8,0
CUST_000006,David,Gonzalez,41,Female,Los Angeles,23,112.95,131.8,1,1,DSL,1,0,0,1,1,1,Month-to-month,0,Bank transfer,2,7.1,9,4,662,4,0.207,0.65,1
CUST_000007,Michael,Lee,68,Female,Phoenix,25,98.86,63.5,1,1,DSL,0,1,1,0,1,1,Month-to-month,1,Mailed check,2,6.7,17,6,759,1,0.207,0.642,1
CUST_000008,Jennifer,Moore,56,Female,Charlotte,24,38.24,18.4,1,1,DSL,1,1,0,0,0,0,Two year,0,Mailed check,3,9.3,5,1,803,3,0.147,0.431,0
CUST_000009,Dorothy,Clark,37,Male,Houston,7,72.4,22.7,1,1,DSL,1,0,0,0,1,1,One year,1,Electronic check,2,6.8,6,10,656,2,0.043,0.485,0
CUST_000010,Robert,Garcia,53,Male,Charlotte,13,108.16,10.0,1,0,DSL,0,0,0,0,0,0,Two year,0,Bank transfer,4,5.1,7,2,697,1,0.003,0.527,1
CUST_000011,Mary,Jackson,38,Male,Charlotte,8,84.54,178.2,0,0,Fiber optic,1,1,0,1,1,1,Month-to-month,0,Electronic check,5,5.0,21,0,566,2,-0.016,0.645,1
CUST_000012,Jennifer,Martin,38,Female,Los Angeles,1,44.66,50.7,1,1,DSL,0,0,0,0,0,0,Two year,1,Mailed check,1,6.4,6,9,786,4,-0.037,0.584,0
CUST_000013,Susan,Gonzalez,48,Female,Los Angeles,14,51.42,1.4,1,0,DSL,1,0,1,0,0,1,Month-to-month,1,Electronic check,2,6.1,21,12,467,2,0.042,0.583,0
CUST_000014,Joseph,Garcia,18,Female,Charlotte,2,55.66,58.9,1,1,DSL,0,1,0,0,0,1,One year,0,Electronic check,3,5.0,9,1,538,1,0.025,0.476,1
CUST_000015,Mary,Martin,19,Male,Phoenix,1,52.39,31.4,1,0,Fiber optic,1,1,0,0,0,1,Month-to-month,1,Electronic check,2,7.4,10,5,446,0,-0.153,0.722,0
CUST_000016,Richard,Brown,36,Male,New York,25,122.92,291.9,1,0,Fiber optic,1,0,0,0,1,0,Two year,1,Mailed check,2,6.0,12,5,649,0,0.401,0.455,0
CUST_000017,Anthony,Ramirez,29,Male,Chicago,1,30.93,75.9,1,1,DSL,1,1,1,0,0,0,Two year,0,Credit card,4,8.9,5,1,667,1,0.135,0.563,0
